날짜,KRX_OF
2023-06-27,913.2985282845879
2023-06-28,916.0709103155255
2023-06-29,909.5610417409844
2023-06-30,912.2666312513164
2023-07-03,932.3581309805718
2023-07-04,928.8756835662391
2023-07-05,934.4052684874334
2023-07-06,919.9932009539917
2023-07-07,900.5410345999562
2023-07-10,919.9067229384112
2023-07-11,939.9074477560976
2023-07-12,944.3970738835098
2023-07-13,946.6417767472927
2023-07-14,965.0052226130074
2023-07-17,958.5941788698677
2023-07-18,948.5765330433107
2023-07-19,957.6088093142853
2023-07-20,977.5148390256188
2023-07-21,984.5286400505222
2023-07-24,964.0708718914344
2023-07-25,971.5949894264536
2023-07-26,954.7544084613969
2023-07-27,981.500269105771
2023-07-28,975.6805397050573
2023-07-31,978.0373709944719
2023-08-01,991.1543764927777
2023-08-02,981.8684882772517
2023-08-03,987.0102064338333
2023-08-04,1001.3073218879778
2023-08-07,1007.0540307619356
2023-08-08,990.9129830062767
2023-08-09,994.8393992336645
2023-08-10,984.6689048566961
2023-08-11,1001.4245602326201
2023-08-14,1002.287346536686
2023-08-16,994.3908356791546
2023-08-17,986.3260413528031
2023-08-18,984.1522249700415
2023-08-21,986.978258708083
2023-08-22,991.0802299844718
2023-08-23,994.3134463457844
2023-08-24,1002.3411047430908
2023-08-25,1003.8157909392362
2023-08-28,1010.075151306403
2023-08-29,1024.9070707599801
2023-08-30,1043.521624617235
2023-08-31,1047.514962727614
2023-09-01,1040.0166075232598
2023-09-04,1036.5781055766834
2023-09-05,1032.223831214078
2023-09-06,1035.051005858278
2023-09-07,1029.5418128587405
2023-09-08,1029.688713492373
2023-09-11,1023.1991117653525
2023-09-12,1015.1133123433859
2023-09-13,1024.8607275659126
2023-09-14,1031.5514890401137
2023-09-15,1039.8538974904338
2023-09-18,1029.1620925850086
2023-09-19,1035.2879259323033
2023-09-20,1034.140978089443
2023-09-21,1023.5697527811781
2023-09-22,1062.0284102801456
2023-09-25,1075.5455029172906
2023-09-26,1049.012362960011
2023-09-27,1035.8240562482504
2023-10-04,1000.8777954015353
2023-10-05,1014.6128256478006
2023-10-06,1021.3180200557192
2023-10-10,1026.246770982626
2023-10-11,1030.0136994920206
2023-10-12,1037.5616678905144
2023-10-13,1037.0592856567275
2023-10-16,1027.8992154337468
2023-10-17,1020.4495839611455
2023-10-18,1022.325820343694
2023-10-19,1004.2356799856029
2023-10-20,985.4799431283993
2023-10-23,959.8584679139448
2023-10-24,970.9161558353159
2023-10-25,995.7135651919295
2023-10-26,978.2274320096288
2023-10-27,979.1690757455976
2023-10-30,992.1374221289271
2023-10-31,986.3755820674412
2023-11-01,996.3716325578282
2023-11-02,1011.4600765457351
2023-11-03,1021.5859849346386
2023-11-06,1040.17787226532
2023-11-07,1046.5798624012932
2023-11-08,1042.982766999043
2023-11-09,1057.7622787524876
2023-11-10,1056.9973888029226
2023-11-13,1071.1227745881201
2023-11-14,1092.759067559799
2023-11-15,1112.9828355866612
2023-11-16,1090.4506704165028
2023-11-17,1091.7295479055113
2023-11-20,1068.7422079805233
2023-11-21,1096.3780238764546
2023-11-22,1093.639845626429
2023-11-23,1093.3714709282215
2023-11-24,1072.6346940259841
2023-11-27,1087.5186300238418
2023-11-28,1092.612136977567
